5393424,0,0,0,0,0,0
5395208,0,0,0,0,0,0
5,0,0,0,0,0,0
20447264,0,0,0,0,0,0
20449136,0,0,0,0,0,0
20451008,3,8,7,8,6,4
20452880,4,19,20,21,17,11
20455168,3,22,22,19,16,9
20457384,0,16,15,14,7,2
20459504,0,3,0,0,0,0
20461376,0,0,0,0,0,0
20463248,0,0,0,0,0,0
20465120,0,0,0,0,0,0
20466984,0,5,4,3,1,1
20468856,4,15,14,13,12,10
20471152,4,22,22,20,19,12
20473448,0,17,16,14,12,4
20475656,0,6,4,0,0,0
20477528,0,0,0,0,0,0
20479400,0,0,0,0,0,0
20481264,0,0,0,0,0,0
20483136,0,3,2,1,0,0
20485008,3,12,12,12,11,8
20487216,4,21,20,20,19,13
20489512,3,20,19,17,15,9
20491720,0,9,6,4,2,0
20493592,0,0,0,0,0,0
20495464,0,0,0,0,0,0
20497328,0,0,0,0,0,0
20499200,0,0,0,0,0,0
20501072,2,9,8,7,7,5
20502944,4,19,20,21,16,11
20505240,4,22,22,21,15,9
20507448,0,14,12,9,4,2
20509488,0,2,0,0,0,0
20511360,0,0,0,0,0,0
20513224,0,0,0,0,0,0
20515096,0,0,0,0,0,0
20516968,1,5,4,5,3,3
20518840,4,16,16,18,14,10
20521128,2,22,22,20,17,14
20523424,0,18,16,13,10,3
20525640,0,7,4,2,0,0
20527504,0,0,0,0,0,0
20529384,0,0,0,0,0,0
20531248,0,0,0,0,0,0
20533120,1,3,3,5,1,0
20534984,2,13,12,12,9,7
20537112,4,21,21,19,17,11
20539408,3,19,18,15,13,5
20541616,0,9,6,3,2,0
20543492,0,0,0,0,0,0
20545360,0,0,0,0,0,0
20547224,0,0,0,0,0,0
20549096,0,0,0,0,0,0
20550968,3,9,8,9,7,5
20552840,4,19,19,21,16,11
20555128,4,21,20,18,15,12
20557424,0,13,11,8,5,2
20559464,0,2,0,0,0,0
20561336,0,0,0,0,0,0
20563208,0,0,0,0,0,0
20565080,0,0,0,0,0,0
20566944,1,6,6,4,2,2
20568816,3,15,15,13,13,9
20571024,3,21,20,19,18,11
20573320,1,16,15,13,12,6
20575528,0,6,4,1,0,0
20577400,0,0,0,0,0,0
20579272,0,0,0,0,0,0
20581144,0,0,0,0,0,0
20583008,1,3,3,1,0,0
20584880,3,12,12,11,10,7
20587088,3,21,20,19,18,12
20589384,2,19,18,16,14,8
20591600,0,9,8,8,2,0
20593464,0,0,0,0,0,0
20595336,0,0,0,0,0,0
20597208,0,0,0,0,0,0
20599080,0,1,0,1,0,0
20600952,2,9,9,8,5,4
20602816,3,18,17,16,15,10
20605112,2,20,19,18,16,11
20607408,0,12,11,8,6,1
20609448,0,2,0,0,0,0
20611320,0,0,0,0,0,0
20613184,0,0,0,0,0,0
20615056,0,0,0,0,0,0
20616928,1,6,4,5,3,2
20618816,4,16,16,16,19,9
20621008,3,21,21,19,16,10
20623304,1,18,17,16,10,6
20625512,0,6,4,1,0,0
20627384,0,0,0,0,0,0
20629248,0,0,0,0,0,0
20631120,0,0,0,0,0,0
20632992,1,2,1,0,0,0
20634864,3,13,13,14,10,7
20637072,3,20,20,18,16,11
20639368,2,18,17,16,13,8
20641576,0,8,5,3,1,0
20643448,0,0,0,0,0,0
20645320,0,0,0,0,0,0
20647184,0,0,0,0,0,0
20649056,0,0,0,0,0,0
20650928,2,9,8,8,7,5
20652800,4,18,18,20,16,10
20655088,2,20,20,18,14,8
20657304,0,14,13,12,6,2
20659432,0,3,0,0,0,0
20661296,0,0,0,0,0,0
20663168,0,0,0,0,0,0
20665040,0,0,0,0,0,0
20666904,2,6,4,4,2,2
20668776,4,15,15,13,12,9
20670984,3,20,19,18,17,10
20673280,0,16,14,13,12,6
20675488,0,6,3,1,0,0
20677360,0,0,0,0,0,0
20679232,0,0,0,0,0,0
20681104,0,0,0,0,0,0
20682968,1,3,3,1,0,0
20684840,3,12,11,10,10,7
20687048,4,20,20,18,18,12
20689352,3,20,19,20,14,9
20691560,0,10,8,8,0,0
20693512,0,0,0,0,0,0
20695384,0,0,0,0,0,0
20697248,0,0,0,0,0,0
20699120,0,0,0,0,0,0
20700992,2,9,8,7,7,5
20702864,4,19,19,20,16,10
20705160,3,21,21,19,14,8
20707368,0,13,11,8,4,1
20709408,0,1,0,0,0,0
20711280,0,0,0,0,0,0
20713144,0,0,0,0,0,0
20715016,0,0,0,0,0,0
20716888,1,5,4,4,3,2
20718760,4,15,15,17,13,9
20720968,2,20,20,19,16,10
20723264,0,18,17,16,10,5
20725472,0,6,3,1,0,0
20727360,0,0,0,0,0,0
20729208,0,0,0,0,0,0
20731080,0,0,0,0,0,0
20732952,0,3,2,1,1,0
20734824,3,13,13,14,10,7
20737036,4,21,20,19,16,11
20739328,3,19,17,15,12,8
20741536,0,8,5,3,1,0
20743408,0,0,0,0,0,0
20745280,0,0,0,0,0,0
20747144,0,0,0,0,0,0
20749016,0,0,0,0,0,0
20750888,2,9,8,8,7,5
20752760,4,18,18,20,16,10
